"SHARES" "REV" "INC" "AGE" "year" "y"
101.037 38.828 1.4548 65 "83" 1425
101.037 38.828 1.4548 65 "84" 1481.25
5713.459 0.5584 0.0297 44 "83" 1455.35
5713.459 0.5584 0.0297 44 "84" 1239.402
18.367 12.595 0.479 60 "83" 1057.707
18.367 12.595 0.479 60 "84" 1205.181
134.713 4.2336 0.1083 66 "83" 862.5
134.713 4.2336 0.1083 66 "84" 1012.5
7.896 8.3215 0.2341 53 "83" 871.056
7.896 8.3215 0.2341 53 "84" 980
48.722 3.104 0.4026 56 "83" 817.687
48.722 3.104 0.4026 56 "84" 921.213
78.513 7 0.188 47 "83" 1092.57
78.513 7 0.188 47 "84" 915.6
73.12 1.2458 0.1616 56 "83" 833
73.12 1.2458 0.1616 56 "84" 912.5
57.723 6.6618 0.4908 57 "83" 372.645
57.723 6.6618 0.4908 57 "84" 863
38.436 3.4298 0.038 55 "83" 736.883
38.436 3.4298 0.038 55 "84" 882.347
8.247 9.7587 0.4558 57 "83" 838.462
8.247 9.7587 0.4558 57 "84" 890
22.135 2.0018 0.1098 55 "83" 698.333
22.135 2.0018 0.1098 55 "84" 815
50.612 28.998 2.183 59 "83" 647.988
50.612 28.998 2.183 59 "84" 748.189
2331.816 4.907 0.1177 66 "83" 728.663
2331.816 4.907 0.1177 66 "84" 740.5
22.432 0.9216 0.0527 63 "83" 502.4
22.432 0.9216 0.0527 63 "84" 706.565
113.906 1.4681 0.0942 54 "83" 630
113.906 1.4681 0.0942 54 "84" 698.923
53.162 1.397 0.0893 61 "83" 660
53.162 1.397 0.0893 61 "84" 661.958
23.925 0.8758 0.0367 50 "83" 350.004
23.925 0.8758 0.0367 50 "84" 654.936
205.046 33.9156 0.2061 62 "83" 573.5
205.046 33.9156 0.2061 62 "84" 620
224.632 4.1597 0.1455 64 "83" 483.542
224.632 4.1597 0.1455 64 "84" 607.083
25.369 3.3441 0.1348 46 "83" 475.176
25.369 3.3441 0.1348 46 "84" 606.977
56.713 2.1398 0.0366 62 "83" 507.036
56.713 2.1398 0.0366 62 "84" 583.437
379.86 1.3148 0.1425 53 "83" 498.96
379.86 1.3148 0.1425 53 "84" 567
139.2 1.7944 0.103 59 "83" 488.543
139.2 1.7944 0.103 59 "84" 566.446
60.45 3.7388 0.141 57 "83" 534.004
60.45 3.7388 0.141 57 "84" 559.266
232.466 2.7446 0.0854 49 "83" 454.752
232.466 2.7446 0.0854 49 "84" 551.516
63.22 1.0419 0.0664 58 "83" 550
63.22 1.0419 0.0664 58 "84" 551.154
100.112 5.534 0.387 62 "83" 550
100.112 5.534 0.387 62 "84" 550
25.172 1.8145 0.134 50 "83" 518.177
25.172 1.8145 0.134 50 "84" 545.908
13.2 1.3746 0.1234 67 "83" 457.375
13.2 1.3746 0.1234 67 "84" 545
92.2 1.0708 0.0417 65 "83" 462
92.2 1.0708 0.0417 65 "84" 540
180.035 3.4148 0.3891 52 "83" 469.873
180.035 3.4148 0.3891 52 "84" 499.991
1036.286 1.0593 0.0069 57 "83" 391.035
1036.286 1.0593 0.0069 57 "84" 495.915
33.002 0.2676 0.0168 54 "83" 372.5
33.002 0.2676 0.0168 54 "84" 490
1558.377 0.3486 0.0045 65 "83" 434.008
1558.377 0.3486 0.0045 65 "84" 489.419
146.407 1.3655 0.1062 56 "83" 274.82
146.407 1.3655 0.1062 56 "84" 480
40.736 4.802 0.055 66 "83" 508.333
40.736 4.802 0.055 66 "84" 475
2 1.1772 0.0272 47 "83" 300
2 1.1772 0.0272 47 "84" 473.216
72.786 1.8004 0.0291 50 "83" 645
72.786 1.8004 0.0291 50 "84" 465
37.65 0.5716 0.0178 64 "83" 425.654
37.65 0.5716 0.0178 64 "84" 464.577
4.826 1.716 0.0636 45 "83" 350.25
4.826 1.716 0.0636 45 "84" 461.25
96.431 0.5923 0.06 54 "83" 402.735
96.431 0.5923 0.06 54 "84" 459.352
72.226 0.9231 0.0265 62 "83" 420.422
72.226 0.9231 0.0265 62 "84" 455.998
107.233 0.5905 0.0397 52 "83" 371.4
107.233 0.5905 0.0397 52 "84" 451.667
1510.15 0.4378 0.0138 58 "83" 337.533
1510.15 0.4378 0.0138 58 "84" 450.192
2516.958 0.2522 0.0382 47 "83" 267.51
2516.958 0.2522 0.0382 47 "84" 450.01
3.346 0.4966 0.0317 69 "83" 387.5
3.346 0.4966 0.0317 69 "84" 450
307.12 0.22 0.019 56 "83" 313.5
307.12 0.22 0.019 56 "84" 434.487
26.163 0.8451 0.0366 57 "83" 383.333
26.163 0.8451 0.0366 57 "84" 432.667
4022.46 1.2877 0.1622 47 "83" 396
4022.46 1.2877 0.1622 47 "84" 430
